
#################################################################
# Summary Statistics
#################################################################

DIC = 4991.904

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO1_2019.Ripening.Tour_herb    0.041 0.026 0.007 0.009 0.022 0.035 0.054 0.092
p.MO2_2018.Tillering.Detritivore 0.209 0.116 0.029 0.043 0.120 0.194 0.285 0.417
p.MO2_2018.Tillering.Rice_herb   0.106 0.064 0.019 0.027 0.060 0.092 0.140 0.232
p.MO2_2018.Tillering.Tour_herb   0.685 0.121 0.443 0.480 0.602 0.692 0.775 0.873
p.MO2_2018.Flowering.Detritivore 0.061 0.055 0.005 0.008 0.024 0.046 0.082 0.170
p.MO2_2018.Flowering.Rice_herb   0.538 0.160 0.183 0.244 0.436 0.553 0.652 0.780
p.MO2_2018.Flowering.Tour_herb   0.401 0.151 0.155 0.184 0.292 0.382 0.494 0.686
p.MO2_2019.Tillering.Detritivore 0.814 0.073 0.660 0.682 0.767 0.821 0.869 0.921
p.MO2_2019.Tillering.Rice_herb   0.113 0.050 0.040 0.047 0.076 0.106 0.141 0.209
p.MO2_2019.Tillering.Tour_herb   0.073 0.047 0.011 0.015 0.036 0.062 0.098 0.164
p.MO2_2019.Flowering.Detritivore 0.251 0.095 0.091 0.109 0.181 0.242 0.312 0.415
p.MO2_2019.Flowering.Rice_herb   0.702 0.097 0.505 0.537 0.639 0.706 0.772 0.856
p.MO2_2019.Flowering.Tour_herb   0.047 0.033 0.007 0.010 0.023 0.039 0.064 0.113
p.MO3_2018.Tillering.Detritivore 0.455 0.159 0.138 0.188 0.350 0.455 0.561 0.722
p.MO3_2018.Tillering.Rice_herb   0.141 0.090 0.017 0.025 0.069 0.125 0.195 0.312
p.MO3_2018.Tillering.Tour_herb   0.405 0.149 0.134 0.174 0.303 0.392 0.498 0.666
p.MO3_2019.Tillering.Detritivore 0.141 0.146 0.005 0.009 0.032 0.079 0.212 0.450
p.MO3_2019.Tillering.Rice_herb   0.004 0.003 0.001 0.001 0.002 0.003 0.005 0.010
