
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LO3_2019.Ripening.Tour_herb    0.020 0.015 0.003 0.004 0.010 0.017 0.027 0.049
p.MC_2017.Tillering.Detritivore  0.488 0.171 0.169 0.217 0.368 0.483 0.609 0.784
p.MC_2017.Tillering.Rice_herb    0.271 0.106 0.090 0.114 0.193 0.265 0.339 0.454
p.MC_2017.Tillering.Tour_herb    0.240 0.111 0.043 0.067 0.161 0.236 0.311 0.433
p.MC_2017.Flowering.Detritivore  0.031 0.031 0.003 0.004 0.011 0.022 0.040 0.091
p.MC_2017.Flowering.Rice_herb    0.850 0.061 0.712 0.740 0.813 0.856 0.894 0.937
p.MC_2017.Flowering.Tour_herb    0.119 0.055 0.032 0.040 0.080 0.112 0.152 0.217
p.MC_2017.Ripening.Detritivore   0.015 0.022 0.000 0.001 0.003 0.008 0.018 0.055
p.MC_2017.Ripening.Rice_herb     0.910 0.047 0.802 0.822 0.884 0.918 0.944 0.971
p.MC_2017.Ripening.Tour_herb     0.075 0.041 0.016 0.021 0.044 0.068 0.097 0.152
p.MC1_2018.Tillering.Detritivore 0.123 0.077 0.021 0.028 0.065 0.107 0.166 0.265
p.MC1_2018.Tillering.Rice_herb   0.757 0.099 0.549 0.587 0.694 0.764 0.829 0.906
p.MC1_2018.Tillering.Tour_herb   0.120 0.080 0.015 0.022 0.059 0.104 0.164 0.272
p.MC1_2018.Flowering.Detritivore 0.003 0.003 0.000 0.000 0.001 0.002 0.003 0.009
p.MC1_2018.Flowering.Rice_herb   0.972 0.022 0.915 0.931 0.964 0.977 0.987 0.995
p.MC1_2018.Flowering.Tour_herb   0.025 0.022 0.003 0.004 0.010 0.020 0.033 0.066
p.MC1_2018.Ripening.Detritivore  0.001 0.002 0.000 0.000 0.000 0.001 0.001 0.004
p.MC1_2018.Ripening.Rice_herb    0.984 0.015 0.946 0.958 0.979 0.988 0.993 0.997
p.MC1_2018.Ripening.Tour_herb    0.015 0.015 0.001 0.002 0.006 0.011 0.020 0.041
p.MC1_2019.Tillering.Detritivore 0.199 0.110 0.034 0.048 0.115 0.183 0.270 0.400
p.MC1_2019.Tillering.Rice_herb   0.704 0.109 0.474 0.515 0.633 0.707 0.782 0.876
p.MC1_2019.Tillering.Tour_herb   0.098 0.066 0.014 0.019 0.047 0.084 0.134 0.224
p.MC1_2019.Flowering.Detritivore 0.005 0.005 0.000 0.001 0.002 0.003 0.006 0.014
p.MC1_2019.Flowering.Rice_herb   0.974 0.017 0.931 0.941 0.965 0.978 0.986 0.994
p.MC1_2019.Flowering.Tour_herb   0.021 0.017 0.003 0.004 0.009 0.017 0.029 0.054
p.MC1_2019.Ripening.Detritivore  0.002 0.003 0.000 0.000 0.000 0.001 0.003 0.008
p.MC1_2019.Ripening.Rice_herb    0.985 0.011 0.956 0.963 0.980 0.988 0.993 0.997
p.MC1_2019.Ripening.Tour_herb    0.013 0.011 0.001 0.002 0.005 0.010 0.017 0.033
p.MC2_2018.Tillering.Detritivore 0.116 0.088 0.018 0.025 0.055 0.095 0.151 0.289
p.MC2_2018.Tillering.Rice_herb   0.773 0.104 0.540 0.582 0.716 0.787 0.847 0.917
p.MC2_2018.Tillering.Tour_herb   0.111 0.075 0.014 0.020 0.056 0.096 0.149 0.247
p.MC2_2018.Flowering.Detritivore 0.003 0.004 0.000 0.000 0.001 0.002 0.003 0.009
p.MC2_2018.Flowering.Rice_herb   0.974 0.021 0.920 0.938 0.967 0.980 0.988 0.995
p.MC2_2018.Flowering.Tour_herb   0.023 0.021 0.002 0.003 0.010 0.018 0.030 0.059
p.MC2_2019.Tillering.Detritivore 0.576 0.136 0.297 0.346 0.486 0.580 0.671 0.788
p.MC2_2019.Tillering.Rice_herb   0.323 0.114 0.128 0.154 0.242 0.315 0.395 0.522
p.MC2_2019.Tillering.Tour_herb   0.101 0.063 0.016 0.022 0.053 0.089 0.138 0.220
p.MC2_2019.Flowering.Detritivore 0.030 0.023 0.004 0.006 0.014 0.024 0.040 0.073
p.MC2_2019.Flowering.Rice_herb   0.924 0.039 0.832 0.847 0.903 0.930 0.953 0.974
p.MC2_2019.Flowering.Tour_herb   0.047 0.031 0.007 0.010 0.023 0.040 0.062 0.109
p.MC3_2018.Tillering.Detritivore 0.465 0.181 0.137 0.183 0.335 0.457 0.591 0.783
p.MC3_2018.Tillering.Rice_herb   0.251 0.119 0.056 0.074 0.165 0.241 0.328 0.464
p.MC3_2018.Tillering.Tour_herb   0.283 0.123 0.057 0.085 0.196 0.279 0.364 0.493
p.MC3_2018.Flowering.Detritivore 0.035 0.042 0.002 0.003 0.010 0.022 0.042 0.113
p.MC3_2018.Flowering.Rice_herb   0.808 0.098 0.564 0.619 0.758 0.824 0.878 0.934
p.MC3_2018.Flowering.Tour_herb   0.158 0.084 0.035 0.048 0.097 0.144 0.202 0.315
p.MC3_2018.Ripening.Detritivore  0.017 0.028 0.000 0.001 0.003 0.008 0.019 0.066
p.MC3_2018.Ripening.Rice_herb    0.881 0.073 0.695 0.743 0.844 0.899 0.934 0.967
p.MC3_2018.Ripening.Tour_herb    0.102 0.065 0.018 0.025 0.055 0.088 0.134 0.223
p.MC3_2019.Tillering.Detritivore 0.252 0.117 0.064 0.087 0.167 0.237 0.320 0.466
p.MC3_2019.Tillering.Rice_herb   0.333 0.095 0.152 0.177 0.269 0.336 0.400 0.487
p.MC3_2019.Tillering.Tour_herb   0.415 0.088 0.252 0.279 0.356 0.410 0.468 0.568
p.MC3_2019.Flowering.Detritivore 0.012 0.013 0.001 0.001 0.004 0.008 0.015 0.034
p.MC3_2019.Flowering.Rice_herb   0.820 0.074 0.646 0.679 0.780 0.832 0.874 0.918
p.MC3_2019.Flowering.Tour_herb   0.169 0.070 0.064 0.075 0.118 0.157 0.207 0.302
p.MC3_2019.Ripening.Detritivore  0.006 0.008 0.000 0.000 0.001 0.003 0.007 0.019
p.MC3_2019.Ripening.Rice_herb    0.888 0.054 0.758 0.785 0.859 0.899 0.928 0.957
p.MC3_2019.Ripening.Tour_herb    0.106 0.052 0.034 0.040 0.068 0.096 0.134 0.208
p.MO_2017.Tillering.Detritivore  0.308 0.189 0.039 0.060 0.155 0.274 0.434 0.675
p.MO_2017.Tillering.Rice_herb    0.074 0.042 0.019 0.024 0.045 0.065 0.094 0.152
p.MO_2017.Tillering.Tour_herb    0.618 0.179 0.230 0.282 0.496 0.642 0.760 0.868
p.MO_2017.Flowering.Detritivore  0.032 0.034 0.002 0.003 0.010 0.022 0.043 0.098
p.MO_2017.Flowering.Rice_herb    0.412 0.107 0.204 0.234 0.339 0.412 0.482 0.583
p.MO_2017.Flowering.Tour_herb    0.556 0.104 0.358 0.388 0.488 0.554 0.628 0.729
p.MO_2017.Ripening.Detritivore   0.019 0.024 0.001 0.001 0.004 0.010 0.023 0.068
p.MO_2017.Ripening.Rice_herb     0.551 0.116 0.316 0.352 0.475 0.554 0.629 0.736
p.MO_2017.Ripening.Tour_herb     0.430 0.114 0.220 0.251 0.355 0.425 0.505 0.624
p.MO1_2018.Tillering.Detritivore 0.652 0.306 0.086 0.123 0.366 0.754 0.943 0.982
p.MO1_2018.Tillering.Rice_herb   0.167 0.194 0.004 0.005 0.015 0.072 0.278 0.562
p.MO1_2018.Tillering.Tour_herb   0.181 0.185 0.006 0.010 0.037 0.109 0.278 0.577
p.MO1_2018.Flowering.Detritivore 0.227 0.246 0.001 0.002 0.010 0.074 0.460 0.662
p.MO1_2018.Flowering.Rice_herb   0.607 0.260 0.188 0.218 0.368 0.610 0.862 0.961
p.MO1_2018.Flowering.Tour_herb   0.166 0.126 0.016 0.023 0.073 0.138 0.222 0.410
p.MO1_2018.Ripening.Detritivore  0.125 0.175 0.000 0.001 0.005 0.033 0.182 0.525
p.MO1_2018.Ripening.Rice_herb    0.746 0.200 0.272 0.352 0.622 0.787 0.917 0.978
p.MO1_2018.Ripening.Tour_herb    0.129 0.106 0.009 0.015 0.051 0.103 0.179 0.326
p.MO1_2019.Tillering.Detritivore 0.660 0.169 0.236 0.347 0.567 0.685 0.782 0.888
p.MO1_2019.Tillering.Rice_herb   0.217 0.114 0.055 0.071 0.136 0.199 0.276 0.419
p.MO1_2019.Tillering.Tour_herb   0.123 0.085 0.014 0.021 0.061 0.107 0.169 0.275
p.MO1_2019.Flowering.Detritivore 0.057 0.052 0.004 0.006 0.021 0.042 0.076 0.160
p.MO1_2019.Flowering.Rice_herb   0.865 0.066 0.711 0.739 0.829 0.875 0.913 0.952
p.MO1_2019.Flowering.Tour_herb   0.078 0.046 0.014 0.019 0.044 0.071 0.104 0.165
p.MO1_2019.Ripening.Detritivore  0.029 0.037 0.001 0.001 0.006 0.014 0.035 0.105
p.MO1_2019.Ripening.Rice_herb    0.923 0.047 0.800 0.834 0.899 0.935 0.957 0.980
p.MO1_2019.Ripening.Tour_herb    0.048 0.031 0.007 0.010 0.026 0.042 0.064 0.108
p.MO2_2018.Tillering.Detritivore 0.204 0.115 0.032 0.047 0.115 0.190 0.279 0.408
p.MO2_2018.Tillering.Rice_herb   0.147 0.078 0.030 0.041 0.089 0.135 0.193 0.289
p.MO2_2018.Tillering.Tour_herb   0.649 0.119 0.424 0.457 0.566 0.649 0.733 0.840
p.MO2_2018.Flowering.Detritivore 0.016 0.018 0.001 0.001 0.005 0.010 0.020 0.047
p.MO2_2018.Flowering.Rice_herb   0.558 0.156 0.203 0.264 0.462 0.576 0.671 0.780
p.MO2_2018.Flowering.Tour_herb   0.427 0.153 0.182 0.213 0.316 0.409 0.518 0.713
p.MO2_2019.Tillering.Detritivore 0.808 0.081 0.629 0.661 0.757 0.814 0.869 0.927
p.MO2_2019.Tillering.Rice_herb   0.139 0.064 0.040 0.050 0.091 0.132 0.178 0.258
p.MO2_2019.Tillering.Tour_herb   0.053 0.038 0.006 0.010 0.025 0.044 0.072 0.127
p.MO2_2019.Flowering.Detritivore 0.092 0.062 0.014 0.020 0.047 0.078 0.126 0.214
p.MO2_2019.Flowering.Rice_herb   0.854 0.072 0.687 0.714 0.814 0.866 0.908 0.950
p.MO2_2019.Flowering.Tour_herb   0.053 0.037 0.009 0.011 0.027 0.044 0.069 0.124
p.MO3_2018.Tillering.Detritivore 0.509 0.189 0.152 0.202 0.371 0.506 0.644 0.824
p.MO3_2018.Tillering.Rice_herb   0.165 0.107 0.019 0.028 0.082 0.147 0.227 0.368
p.MO3_2018.Tillering.Tour_herb   0.327 0.153 0.052 0.084 0.221 0.316 0.423 0.596
p.MO3_2019.Tillering.Detritivore 0.498 0.186 0.048 0.103 0.398 0.531 0.635 0.750
p.MO3_2019.Tillering.Rice_herb   0.005 0.003 0.001 0.001 0.002 0.004 0.006 0.011
p.MO3_2019.Tillering.Tour_herb   0.497 0.186 0.218 0.247 0.361 0.464 0.598 0.891
p.MO3_2019.Flowering.Detritivore 0.089 0.052 0.009 0.016 0.050 0.081 0.121 0.189
p.MO3_2019.Flowering.Rice_herb   0.054 0.030 0.014 0.017 0.032 0.048 0.070 0.111
