
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.OC_2017.Flowering.Rice_herb    0.862 0.089 0.636 0.689 0.814 0.881 0.930 0.968
p.OC_2017.Flowering.Tour_herb    0.075 0.068 0.006 0.008 0.026 0.054 0.104 0.204
p.OC_2017.Ripening.Detritivore   0.020 0.029 0.001 0.001 0.004 0.010 0.023 0.072
p.OC_2017.Ripening.Rice_herb     0.943 0.049 0.809 0.845 0.924 0.956 0.977 0.991
p.OC_2017.Ripening.Tour_herb     0.037 0.038 0.002 0.004 0.012 0.025 0.049 0.113
p.OO_2017.Tillering.Detritivore  0.781 0.120 0.522 0.571 0.706 0.795 0.872 0.948
p.OO_2017.Tillering.Rice_herb    0.133 0.083 0.018 0.027 0.070 0.119 0.182 0.288
p.OO_2017.Tillering.Tour_herb    0.086 0.078 0.006 0.009 0.030 0.063 0.117 0.234
p.OO_2017.Flowering.Detritivore  0.114 0.100 0.014 0.019 0.044 0.083 0.148 0.326
p.OO_2017.Flowering.Rice_herb    0.784 0.134 0.460 0.514 0.712 0.812 0.886 0.946
p.OO_2017.Flowering.Tour_herb    0.103 0.087 0.008 0.012 0.037 0.077 0.144 0.281
p.OO_2017.Ripening.Detritivore   0.036 0.043 0.002 0.002 0.009 0.020 0.046 0.127
p.OO_2017.Ripening.Rice_herb     0.911 0.067 0.747 0.777 0.877 0.929 0.961 0.986
p.OO_2017.Ripening.Tour_herb     0.053 0.048 0.004 0.006 0.019 0.039 0.073 0.147
p.SC1_2018.Tillering.Detritivore 0.424 0.198 0.094 0.127 0.272 0.404 0.564 0.769
p.SC1_2018.Tillering.Rice_herb   0.385 0.162 0.091 0.127 0.268 0.384 0.499 0.662
p.SC1_2018.Tillering.Tour_herb   0.191 0.129 0.013 0.021 0.088 0.170 0.270 0.427
p.SC1_2018.Flowering.Detritivore 0.025 0.037 0.002 0.002 0.007 0.014 0.028 0.084
p.SC1_2018.Flowering.Rice_herb   0.884 0.088 0.651 0.712 0.843 0.907 0.948 0.980
p.SC1_2018.Flowering.Tour_herb   0.091 0.078 0.006 0.009 0.034 0.070 0.127 0.247
p.SC1_2018.Ripening.Detritivore  0.007 0.014 0.000 0.000 0.001 0.003 0.008 0.027
p.SC1_2018.Ripening.Rice_herb    0.948 0.046 0.819 0.851 0.932 0.963 0.980 0.994
p.SC1_2018.Ripening.Tour_herb    0.045 0.043 0.003 0.004 0.015 0.031 0.060 0.135
p.SC1_2019.Tillering.Detritivore 0.627 0.124 0.384 0.426 0.543 0.626 0.710 0.835
p.SC1_2019.Tillering.Rice_herb   0.260 0.099 0.079 0.100 0.189 0.258 0.326 0.427
p.SC1_2019.Tillering.Tour_herb   0.113 0.084 0.008 0.013 0.048 0.095 0.159 0.274
p.SC1_2019.Flowering.Detritivore 0.043 0.034 0.007 0.009 0.020 0.032 0.055 0.109
p.SC1_2019.Flowering.Rice_herb   0.883 0.076 0.676 0.729 0.849 0.902 0.938 0.968
