"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"16","1000.0","...","1002.2","2019-07-16 00:01","997.5","2019-07-16 19:32","29.9","32.2","2019-07-16 12:01","28.0","2019-07-16 05:04","...","80","67","2019-07-16 12:01","2.1","72","8.7","320","2019-07-16 11:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","993.1","...","997.7","2019-07-17 00:01","988.8","2019-07-17 17:01","31.2","37.0","2019-07-17 16:25","27.2","2019-07-17 04:43","...","70","46","2019-07-17 16:25","2.3","5","10.5","70","2019-07-17 19:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","992.0","...","993.8","2019-07-18 21:23","990.8","2019-07-18 03:15","29.7","32.0","2019-07-18 11:46","28.0","2019-07-18 23:51","...","79","65","2019-07-18 08:41","2.6","2","9.8","3","2019-07-18 13:34","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","995.3","...","999.8","2019-07-19 22:43","991.7","2019-07-19 03:41","29.9","32.5","2019-07-19 13:52","27.0","2019-07-19 03:31","...","77","64","2019-07-19 15:12","2.6","265","10.8","175","2019-07-19 22:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.0","...","1003.9","2019-07-20 22:21","998.7","2019-07-20 02:44","30.6","34.2","2019-07-20 11:41","29.0","2019-07-20 00:01","...","66","56","2019-07-20 11:41","3.9","180","12.6","221","2019-07-20 15:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1002.4","...","1003.9","2019-07-21 08:32","1000.7","2019-07-21 15:35","30.4","33.5","2019-07-21 13:52","28.7","2019-07-21 05:03","...","67","53","2019-07-21 15:21","3.3","179","10.5","233","2019-07-21 14:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1002.5","...","1003.8","2019-07-22 23:22","1000.8","2019-07-22 14:01","28.8","32.6","2019-07-22 11:01","24.8","2019-07-22 18:51","...","74","59","2019-07-22 10:15","2.2","177","10.4","234","2019-07-22 11:20","16.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1002.5","...","1003.7","2019-07-23 00:01","1001.0","2019-07-23 16:01","28.9","31.8","2019-07-23 12:11","26.2","2019-07-23 00:39","...","75","63","2019-07-23 09:11","2.2","174","7.5","268","2019-07-23 12:43","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1003.1","...","1004.3","2019-07-24 21:42","1001.6","2019-07-24 04:23","29.5","32.2","2019-07-24 10:01","26.8","2019-07-24 05:12","...","74","59","2019-07-24 10:01","2.5","178","8.2","262","2019-07-24 12:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1003.8","...","1005.0","2019-07-25 08:14","1002.4","2019-07-25 16:38","30.0","32.5","2019-07-25 13:11","27.6","2019-07-25 05:13","...","76","61","2019-07-25 13:02","2.8","180","8.6","268","2019-07-25 14:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1002.0","...","1003.4","2019-07-26 07:01","1000.0","2019-07-26 16:05","30.4","33.2","2019-07-26 13:13","28.2","2019-07-26 04:51","...","73","59","2019-07-26 10:01","3.0","173","9.8","271","2019-07-26 11:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1002.0","...","1004.2","2019-07-27 21:31","999.9","2019-07-27 14:21","29.3","33.3","2019-07-27 13:13","26.5","2019-07-27 19:16","...","76","60","2019-07-27 13:13","2.4","178","9.3","269","2019-07-27 10:57","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1003.6","...","1005.2","2019-07-28 10:51","1000.9","2019-07-28 02:43","28.8","32.1","2019-07-28 09:41","25.6","2019-07-28 03:52","...","77","61","2019-07-28 09:32","1.8","115","7.4","53","2019-07-28 19:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1003.6","...","1005.0","2019-07-29 09:11","1001.7","2019-07-29 16:21","29.6","32.1","2019-07-29 13:11","26.2","2019-07-29 05:11","...","77","63","2019-07-29 10:47","2.0","111","8.3","320","2019-07-29 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1002.5","...","1004.3","2019-07-30 00:21","1000.4","2019-07-30 17:06","29.9","32.0","2019-07-30 13:33","28.0","2019-07-30 05:55","...","80","65","2019-07-30 11:31","1.8","6","7.6","308","2019-07-30 14:16","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1001.7","...","1002.9","2019-07-31 22:01","999.9","2019-07-31 16:04","30.3","32.7","2019-07-31 16:04","28.0","2019-07-31 05:41","...","77","67","2019-07-31 14:52","2.1","175","6.7","321","2019-07-31 13:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
