"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"17","1000.8","...","1002.3","2019-05-17 00:01","999.0","2019-05-17 16:21","28.1","30.0","2019-05-17 14:01","27.1","2019-05-17 05:53","...","80","66","2019-05-17 16:21","3.8","181","11.4","196","2019-05-17 11:50","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1001.1","...","1003.0","2019-05-18 22:32","999.6","2019-05-18 02:31","27.4","28.7","2019-05-18 17:01","25.7","2019-05-18 06:22","...","90","79","2019-05-18 00:01","3.0","176","11.6","251","2019-05-18 11:21","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1003.0","...","1004.4","2019-05-19 22:21","1001.6","2019-05-19 02:01","28.5","30.6","2019-05-19 14:22","26.8","2019-05-19 01:32","...","82","70","2019-05-19 15:51","3.1","182","10.5","203","2019-05-19 12:06","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1003.4","...","1005.7","2019-05-20 11:51","1001.0","2019-05-20 04:52","25.6","30.0","2019-05-20 08:57","22.6","2019-05-20 21:46","...","84","73","2019-05-20 23:54","3.0","35","12.6","10","2019-05-20 11:36","93.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1005.1","...","1006.7","2019-05-21 22:21","1004.0","2019-05-21 02:52","23.3","25.2","2019-05-21 15:41","21.3","2019-05-21 11:43","...","64","46","2019-05-21 09:03","2.1","38","8.9","35","2019-05-21 07:26","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1005.2","...","1006.4","2019-05-22 21:31","1004.0","2019-05-22 15:11","24.4","28.0","2019-05-22 09:02","22.2","2019-05-22 00:18","...","69","45","2019-05-22 12:03","1.3","117","5.5","1","2019-05-22 14:03","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1006.8","...","1008.6","2019-05-23 09:41","1005.1","2019-05-23 01:56","23.5","25.8","2019-05-23 12:32","20.6","2019-05-23 07:01","...","89","76","2019-05-23 12:41","1.4","59","7.7","315","2019-05-23 04:49","59.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1006.9","...","1008.3","2019-05-24 09:06","1005.4","2019-05-24 16:45","26.4","29.5","2019-05-24 16:43","23.6","2019-05-24 05:13","...","82","64","2019-05-24 16:44","1.5","306","5.8","303","2019-05-24 12:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1006.1","...","1007.3","2019-05-25 09:01","1004.7","2019-05-25 16:45","26.7","29.3","2019-05-25 15:21","25.1","2019-05-25 01:44","...","82","66","2019-05-25 16:29","1.4","3","5.3","306","2019-05-25 13:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1005.0","...","1006.4","2019-05-26 09:42","1003.3","2019-05-26 16:27","27.2","29.8","2019-05-26 16:13","24.3","2019-05-26 05:18","...","79","62","2019-05-26 09:29","1.5","13","5.8","296","2019-05-26 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1004.5","...","1005.7","2019-05-27 10:25","1003.0","2019-05-27 16:24","26.9","29.5","2019-05-27 13:55","24.3","2019-05-27 06:52","...","87","77","2019-05-27 13:55","1.3","180","8.9","209","2019-05-27 15:43","29.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1005.3","...","1007.1","2019-05-28 21:46","1003.7","2019-05-28 02:02","25.2","27.5","2019-05-28 08:57","22.1","2019-05-28 23:43","...","88","81","2019-05-28 06:02","1.9","179","8.5","33","2019-05-28 21:57","28.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1006.0","...","1007.3","2019-05-29 09:31","1004.4","2019-05-29 03:37","23.1","25.6","2019-05-29 13:37","21.7","2019-05-29 23:54","...","72","65","2019-05-29 12:01","3.0","24","10.7","22","2019-05-29 15:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1005.5","...","1006.7","2019-05-30 07:35","1003.3","2019-05-30 15:41","25.2","28.5","2019-05-30 12:24","21.2","2019-05-30 01:22","...","77","60","2019-05-30 09:21","2.1","1","7.6","13","2019-05-30 15:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1004.4","...","1005.3","2019-05-31 00:01","1002.6","2019-05-31 15:46","27.6","30.7","2019-05-31 16:11","25.1","2019-05-31 02:01","...","80","63","2019-05-31 16:11","1.5","102","6.7","306","2019-05-31 11:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
