"d13C","d15N","Farm","Stage"
-26.96495374,7.530728391,"MO1_2019","Ripening"
-26.53584562,8.803575524,"MO1_2019","Ripening"
-26.48270761,8.703103815,"MO1_2019","Ripening"
-28.44287655,9.814409786,"MO1_2019","Ripening"
-27.80173389,7.26759303,"MC3_2019","Ripening"
-26.34429602,7.333071938,"MC3_2019","Ripening"
-27.61849737,6.320855055,"LC1_2019","Ripening"
-27.04505273,7.454978056,"LC1_2019","Ripening"
-27.25027386,8.547688265,"LO1_2019","Ripening"
-27.34470442,8.146807811,"LO1_2019","Ripening"
-28.44612886,5.873522571,"LC3_2019","Ripening"
-27.52554545,7.538067603,"LC3_2019","Ripening"
-24.97823944,7.102719175,"LO3_2019","Ripening"
-27.2775969,5.666678053,"LO3_2019","Ripening"
-22.0616148,8.492869942,"MO3_2019","Ripening"
-18.55279956,6.821014876,"MO3_2019","Ripening"
-19.81356956,8.650322016,"MO3_2019","Ripening"
-20.77668427,9.986533131,"MO3_2019","Ripening"
-16.51022142,9.088258364,"MO3_2019","Ripening"
-19.60441162,10.01463513,"MO3_2019","Ripening"
