"Sample.ID","Family","d13C","C.amount_ug","d15N","N.amount_ug","Total.amount_mg","Farmtype","Landscape","Stage","Farm.ID","Date"
"20180629CICMO3","CIC",-11.4606398536529,477.115771403912,6.08324686693104,104.877393740722,"0.949","Or","Mount","Ripening","MO3","20180629"
"20180629ACRMO3","ACR",-23.0880339034923,579.747820185187,7.78557394063356,144.86079943875,"1.192","Or","Mount","Ripening","MO3","20180629"
"20180629CICMO3","CIC",-13.5648104783017,573.513360381227,5.66974388232386,133.379833025327,"0.854","Or","Mount","Ripening","MO3","20180629"
"20180629ACRMO3","ACR",-15.9953885045441,571.435618170887,6.11404412576296,135.679445225233,"1.151","Or","Mount","Ripening","MO3","20180629"
"20180629PENMO3","PEN",-29.7483842834049,620.316896796454,6.56504722621776,75.4901637400517,"1.112","Or","Mount","Ripening","MO3","20180629"
"20180629CICMC1","CIC",-29.0607299934036,677.662520147482,4.80117658225217,107.198089263493,"1.233","Cv","Mount","Ripening","MC1","20180629"
"20180629PYRMC1","PYR",-32.5027785614809,718.419963924945,5.5208908383161,151.728865783476,"1.416","Cv","Mount","Ripening","MC1","20180629"
"20180629PENMC1","PEN",-28.4147789366534,952.969965695077,3.97840558167041,211.354995017115,"1.525","Cv","Mount","Ripening","MC1","20180629"
"20180629ALYMC1","ALY",-30.0806688603208,716.327937461412,6.29198435082178,126.470739673945,"1.32","Cv","Mount","Ripening","MC1","20180629"
"20180629ARAMC1","ARA",-27.101613334402,464.709743615802,7.67081600430308,104.877393740722,"0.935","Cv","Mount","Ripening","MC1","20180629"
"20180629PENMC1","PEN",-12.2352353879716,607.82578007566,3.62466158416048,130.311024267614,"1.197","Cv","Mount","Ripening","MC1","20180629"
"20180629CICMC1","CIC",-17.5199573722869,819.078936070277,5.15157490965361,165.418843090441,"1.561","Cv","Mount","Ripening","MC1","20180629"
"20180629PENMC2","PEN",-30.0368356764278,641.151866970278,4.71225387000631,111.062116337865,"1.212","Cv","Mount","Ripening","MC2","20180629"
"20180629COCMC2","COC",-25.3436284689451,770.787422380719,5.70342918505068,114.149919080141,"1.416","Cv","Mount","Ripening","MC2","20180629"
