
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MC2_2019.Flowering.Detritivore 0.030 0.037 0.000 0.001 0.005 0.017 0.040
p.MC2_2019.Flowering.Rice_herb   0.920 0.152 0.222 0.792 0.921 0.961 0.983
p.MC2_2019.Flowering.Tour_herb   0.050 0.146 0.000 0.000 0.003 0.011 0.034
p.MC3_2019.Flowering.Detritivore 0.055 0.071 0.000 0.001 0.008 0.027 0.072
p.MC3_2019.Flowering.Rice_herb   0.872 0.163 0.352 0.565 0.834 0.930 0.973
p.MC3_2019.Flowering.Tour_herb   0.073 0.147 0.000 0.000 0.004 0.019 0.068
p.MC3_2019.Ripening.Detritivore  0.017 0.029 0.000 0.000 0.002 0.006 0.018
p.MC3_2019.Ripening.Rice_herb    0.943 0.143 0.504 0.805 0.953 0.983 0.994
p.MC3_2019.Ripening.Tour_herb    0.040 0.139 0.000 0.000 0.001 0.005 0.018
p.MO_2017.Tillering.Detritivore  0.173 0.198 0.000 0.001 0.013 0.083 0.297
p.MO_2017.Tillering.Rice_herb    0.740 0.239 0.153 0.261 0.584 0.804 0.952
p.MO_2017.Tillering.Tour_herb    0.086 0.162 0.000 0.000 0.004 0.019 0.082
p.MO_2017.Flowering.Detritivore  0.123 0.138 0.001 0.001 0.015 0.068 0.196
p.MO_2017.Flowering.Rice_herb    0.792 0.188 0.311 0.434 0.688 0.839 0.949
p.MO_2017.Flowering.Tour_herb    0.085 0.141 0.000 0.001 0.007 0.028 0.094
p.MO_2017.Ripening.Detritivore   0.040 0.059 0.000 0.000 0.003 0.015 0.052
p.MO_2017.Ripening.Rice_herb     0.914 0.141 0.515 0.707 0.897 0.959 0.988
p.MO_2017.Ripening.Tour_herb     0.046 0.128 0.000 0.000 0.002 0.008 0.032
p.MO1_2018.Ripening.Detritivore  0.023 0.046 0.000 0.000 0.002 0.007 0.022
p.MO1_2018.Ripening.Rice_herb    0.935 0.145 0.465 0.729 0.946 0.981 0.994
p.MO1_2018.Ripening.Tour_herb    0.042 0.136 0.000 0.000 0.001 0.005 0.019
p.MO1_2019.Ripening.Detritivore  0.036 0.084 0.000 0.000 0.002 0.007 0.028
p.MO1_2019.Ripening.Rice_herb    0.920 0.165 0.346 0.609 0.932 0.980 0.994
p.MO1_2019.Ripening.Tour_herb    0.044 0.139 0.000 0.000 0.001 0.005 0.022
p.MO2_2018.Tillering.Detritivore 0.110 0.161 0.000 0.001 0.009 0.041 0.141
p.MO2_2018.Tillering.Rice_herb   0.806 0.231 0.100 0.280 0.725 0.903 0.971
p.MO2_2018.Tillering.Tour_herb   0.084 0.176 0.000 0.000 0.003 0.015 0.063
p.MO2_2018.Flowering.Detritivore 0.076 0.105 0.001 0.001 0.010 0.033 0.100
p.MO2_2018.Flowering.Rice_herb   0.847 0.185 0.262 0.475 0.797 0.914 0.969
p.MO2_2018.Flowering.Tour_herb   0.077 0.155 0.000 0.001 0.005 0.020 0.068
p.MO2_2019.Tillering.Detritivore 0.039 0.068 0.000 0.001 0.005 0.018 0.049
p.MO2_2019.Tillering.Rice_herb   0.880 0.229 0.044 0.162 0.906 0.960 0.985
p.MO2_2019.Tillering.Tour_herb   0.081 0.219 0.000 0.000 0.002 0.008 0.029
p.MO2_2019.Flowering.Detritivore 0.030 0.048 0.000 0.001 0.005 0.014 0.037
p.MO2_2019.Flowering.Rice_herb   0.901 0.185 0.142 0.447 0.913 0.964 0.986
p.MO2_2019.Flowering.Tour_herb   0.069 0.178 0.000 0.000 0.003 0.010 0.038
p.MO3_2018.Tillering.Detritivore 0.133 0.188 0.000 0.001 0.010 0.051 0.176
p.MO3_2018.Tillering.Rice_herb   0.767 0.255 0.083 0.203 0.638 0.871 0.965
p.MO3_2018.Tillering.Tour_herb   0.100 0.188 0.000 0.000 0.004 0.017 0.088
p.MO3_2018.Flowering.Detritivore 0.098 0.135 0.001 0.001 0.011 0.042 0.129
