
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MC3_2018.Flowering.Rice_herb   0.808 0.098 0.564 0.619 0.758 0.824 0.878
p.MC3_2018.Flowering.Tour_herb   0.158 0.084 0.035 0.048 0.097 0.144 0.202
p.MC3_2018.Ripening.Detritivore  0.017 0.028 0.000 0.001 0.003 0.008 0.019
p.MC3_2018.Ripening.Rice_herb    0.881 0.073 0.695 0.743 0.844 0.899 0.934
p.MC3_2018.Ripening.Tour_herb    0.102 0.065 0.018 0.025 0.055 0.088 0.134
p.MC3_2019.Tillering.Detritivore 0.252 0.117 0.064 0.087 0.167 0.237 0.320
p.MC3_2019.Tillering.Rice_herb   0.333 0.095 0.152 0.177 0.269 0.336 0.400
p.MC3_2019.Tillering.Tour_herb   0.415 0.088 0.252 0.279 0.356 0.410 0.468
p.MC3_2019.Flowering.Detritivore 0.012 0.013 0.001 0.001 0.004 0.008 0.015
p.MC3_2019.Flowering.Rice_herb   0.820 0.074 0.646 0.679 0.780 0.832 0.874
p.MC3_2019.Flowering.Tour_herb   0.169 0.070 0.064 0.075 0.118 0.157 0.207
p.MC3_2019.Ripening.Detritivore  0.006 0.008 0.000 0.000 0.001 0.003 0.007
p.MC3_2019.Ripening.Rice_herb    0.888 0.054 0.758 0.785 0.859 0.899 0.928
p.MC3_2019.Ripening.Tour_herb    0.106 0.052 0.034 0.040 0.068 0.096 0.134
p.MO_2017.Tillering.Detritivore  0.308 0.189 0.039 0.060 0.155 0.274 0.434
p.MO_2017.Tillering.Rice_herb    0.074 0.042 0.019 0.024 0.045 0.065 0.094
p.MO_2017.Tillering.Tour_herb    0.618 0.179 0.230 0.282 0.496 0.642 0.760
p.MO_2017.Flowering.Detritivore  0.032 0.034 0.002 0.003 0.010 0.022 0.043
p.MO_2017.Flowering.Rice_herb    0.412 0.107 0.204 0.234 0.339 0.412 0.482
p.MO_2017.Flowering.Tour_herb    0.556 0.104 0.358 0.388 0.488 0.554 0.628
p.MO_2017.Ripening.Detritivore   0.019 0.024 0.001 0.001 0.004 0.010 0.023
p.MO_2017.Ripening.Rice_herb     0.551 0.116 0.316 0.352 0.475 0.554 0.629
p.MO_2017.Ripening.Tour_herb     0.430 0.114 0.220 0.251 0.355 0.425 0.505
