
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MO1_2018.Tillering.Detritivore 0.602 0.278 0.097 0.138 0.371 0.618 0.872
p.MO1_2018.Tillering.Rice_herb   0.225 0.207 0.007 0.010 0.045 0.165 0.355
p.MO1_2018.Tillering.Tour_herb   0.172 0.177 0.005 0.008 0.039 0.109 0.246
p.MO1_2018.Flowering.Detritivore 0.133 0.183 0.002 0.003 0.012 0.036 0.191
p.MO1_2018.Flowering.Rice_herb   0.719 0.226 0.246 0.300 0.539 0.788 0.920
p.MO1_2018.Flowering.Tour_herb   0.148 0.145 0.006 0.010 0.043 0.101 0.201
p.MO1_2018.Ripening.Detritivore  0.041 0.066 0.000 0.001 0.003 0.011 0.047
p.MO1_2018.Ripening.Rice_herb    0.872 0.119 0.573 0.625 0.810 0.913 0.967
p.MO1_2018.Ripening.Tour_herb    0.087 0.094 0.003 0.005 0.022 0.055 0.118
p.MO1_2019.Tillering.Detritivore 0.659 0.177 0.245 0.334 0.550 0.674 0.792
p.MO1_2019.Tillering.Rice_herb   0.200 0.121 0.027 0.040 0.108 0.185 0.269
p.MO1_2019.Tillering.Tour_herb   0.141 0.115 0.008 0.013 0.054 0.113 0.198
p.MO1_2019.Flowering.Detritivore 0.072 0.081 0.006 0.008 0.023 0.046 0.089
p.MO1_2019.Flowering.Rice_herb   0.812 0.117 0.539 0.590 0.746 0.833 0.902
p.MO1_2019.Flowering.Tour_herb   0.115 0.090 0.008 0.013 0.046 0.092 0.162
p.MO1_2019.Ripening.Detritivore  0.027 0.049 0.001 0.001 0.004 0.010 0.027
p.MO1_2019.Ripening.Rice_herb    0.914 0.075 0.713 0.769 0.885 0.936 0.966
p.MO1_2019.Ripening.Tour_herb    0.059 0.053 0.004 0.006 0.022 0.045 0.080
p.MO2_2018.Tillering.Detritivore 0.387 0.271 0.051 0.073 0.181 0.306 0.514
p.MO2_2018.Tillering.Rice_herb   0.161 0.115 0.023 0.030 0.078 0.135 0.215
p.MO2_2018.Tillering.Tour_herb   0.452 0.241 0.007 0.014 0.320 0.507 0.627
p.MO2_2018.Flowering.Detritivore 0.049 0.080 0.002 0.002 0.008 0.019 0.048
p.MO2_2018.Flowering.Rice_herb   0.629 0.188 0.215 0.272 0.511 0.656 0.770
p.MO2_2018.Flowering.Tour_herb   0.322 0.201 0.019 0.039 0.167 0.296 0.454
p.MO2_2019.Tillering.Detritivore 0.639 0.387 0.025 0.036 0.152 0.901 0.942
p.MO2_2019.Tillering.Rice_herb   0.066 0.044 0.013 0.017 0.036 0.055 0.084
p.MO2_2019.Tillering.Tour_herb   0.296 0.378 0.002 0.003 0.008 0.021 0.748
p.MO2_2019.Flowering.Detritivore 0.132 0.113 0.002 0.002 0.017 0.122 0.217
p.MO2_2019.Flowering.Rice_herb   0.625 0.242 0.086 0.130 0.492 0.717 0.801
p.MO2_2019.Flowering.Tour_herb   0.243 0.305 0.006 0.009 0.026 0.060 0.468
p.MO3_2018.Tillering.Detritivore 0.519 0.236 0.102 0.141 0.339 0.500 0.700
p.MO3_2018.Tillering.Rice_herb   0.157 0.112 0.020 0.027 0.073 0.132 0.217
p.MO3_2018.Tillering.Tour_herb   0.324 0.199 0.012 0.022 0.163 0.324 0.465
p.MO3_2018.Flowering.Detritivore 0.066 0.085 0.003 0.005 0.016 0.033 0.080
p.MO3_2018.Flowering.Rice_herb   0.661 0.181 0.247 0.327 0.541 0.680 0.806
p.MO3_2018.Flowering.Tour_herb   0.272 0.175 0.022 0.040 0.132 0.247 0.386
p.MO3_2019.Tillering.Detritivore 0.458 0.195 0.033 0.063 0.345 0.492 0.603
p.MO3_2019.Tillering.Rice_herb   0.008 0.006 0.001 0.002 0.004 0.006 0.010
p.MO3_2019.Tillering.Tour_herb   0.534 0.195 0.227 0.262 0.390 0.502 0.647
