
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MC_2017.Tillering.Rice_herb    0.124 0.065 0.040 0.046 0.079 0.111 0.154 0.252
p.MC_2017.Tillering.Tour_herb    0.258 0.153 0.021 0.035 0.138 0.246 0.358 0.535
p.MC_2017.Flowering.Detritivore  0.186 0.091 0.036 0.051 0.117 0.179 0.247 0.348
p.MC_2017.Flowering.Rice_herb    0.631 0.116 0.380 0.428 0.559 0.637 0.710 0.809
p.MC_2017.Flowering.Tour_herb    0.183 0.123 0.018 0.028 0.089 0.160 0.253 0.422
p.MC_2017.Ripening.Detritivore   0.201 0.093 0.024 0.044 0.133 0.202 0.266 0.351
p.MC_2017.Ripening.Rice_herb     0.697 0.099 0.507 0.539 0.632 0.696 0.764 0.866
p.MC_2017.Ripening.Tour_herb     0.102 0.077 0.009 0.014 0.045 0.085 0.139 0.246
p.MC1_2018.Tillering.Detritivore 0.295 0.182 0.039 0.054 0.150 0.259 0.416 0.645
p.MC1_2018.Tillering.Rice_herb   0.598 0.180 0.201 0.264 0.477 0.619 0.736 0.856
p.MC1_2018.Tillering.Tour_herb   0.106 0.100 0.011 0.016 0.044 0.079 0.135 0.275
p.MC1_2018.Flowering.Detritivore 0.031 0.035 0.002 0.003 0.009 0.019 0.040 0.106
p.MC1_2018.Flowering.Rice_herb   0.941 0.052 0.812 0.842 0.924 0.957 0.975 0.989
p.MC1_2018.Flowering.Tour_herb   0.027 0.038 0.001 0.002 0.007 0.016 0.033 0.087
p.MC1_2018.Ripening.Detritivore  0.032 0.037 0.001 0.002 0.009 0.020 0.041 0.105
p.MC1_2018.Ripening.Rice_herb    0.955 0.044 0.833 0.870 0.943 0.968 0.983 0.993
p.MC1_2018.Ripening.Tour_herb    0.013 0.020 0.001 0.001 0.004 0.007 0.016 0.043
p.MC1_2019.Tillering.Detritivore 0.350 0.163 0.074 0.106 0.231 0.333 0.454 0.650
p.MC1_2019.Tillering.Rice_herb   0.457 0.149 0.176 0.213 0.350 0.457 0.560 0.705
p.MC1_2019.Tillering.Tour_herb   0.194 0.136 0.021 0.029 0.087 0.165 0.270 0.453
p.MC1_2019.Flowering.Detritivore 0.042 0.035 0.004 0.006 0.018 0.032 0.057 0.110
