
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO_2017.Ripening.Detritivore   0.181 0.130 0.006 0.013 0.075 0.157 0.266 0.419
p.MO_2017.Ripening.Rice_herb     0.497 0.346 0.002 0.005 0.093 0.622 0.808 0.934
p.MO_2017.Ripening.Tour_herb     0.323 0.377 0.000 0.000 0.005 0.049 0.731 0.946
p.MO1_2018.Ripening.Detritivore  0.096 0.123 0.001 0.003 0.015 0.047 0.130 0.360
p.MO1_2018.Ripening.Rice_herb    0.554 0.399 0.001 0.003 0.066 0.737 0.931 0.988
p.MO1_2018.Ripening.Tour_herb    0.350 0.417 0.000 0.000 0.003 0.033 0.854 0.987
p.MO1_2019.Ripening.Detritivore  0.206 0.234 0.002 0.003 0.019 0.091 0.369 0.689
p.MO1_2019.Ripening.Rice_herb    0.456 0.373 0.001 0.003 0.058 0.428 0.854 0.985
p.MO1_2019.Ripening.Tour_herb    0.338 0.408 0.000 0.000 0.004 0.040 0.833 0.985
p.MO2_2018.Tillering.Detritivore 0.372 0.273 0.008 0.018 0.137 0.325 0.581 0.872
p.MO2_2018.Tillering.Rice_herb   0.306 0.298 0.001 0.002 0.028 0.207 0.552 0.858
p.MO2_2018.Tillering.Tour_herb   0.322 0.378 0.000 0.000 0.005 0.059 0.727 0.964
p.MO2_2018.Flowering.Detritivore 0.213 0.193 0.006 0.011 0.060 0.153 0.317 0.614
p.MO2_2018.Flowering.Rice_herb   0.454 0.340 0.003 0.006 0.088 0.479 0.777 0.946
p.MO2_2018.Flowering.Tour_herb   0.333 0.379 0.000 0.001 0.008 0.073 0.749 0.957
p.MO2_2019.Tillering.Detritivore 0.188 0.251 0.004 0.009 0.042 0.099 0.196 0.910
p.MO2_2019.Tillering.Rice_herb   0.415 0.409 0.001 0.001 0.014 0.157 0.857 0.961
p.MO2_2019.Tillering.Tour_herb   0.397 0.441 0.000 0.000 0.004 0.034 0.909 0.980
p.MO2_2019.Flowering.Detritivore 0.111 0.182 0.003 0.004 0.017 0.041 0.099 0.591
p.MO2_2019.Flowering.Rice_herb   0.498 0.418 0.001 0.003 0.042 0.500 0.940 0.985
p.MO2_2019.Flowering.Tour_herb   0.390 0.437 0.000 0.000 0.005 0.041 0.909 0.981
p.MO3_2018.Tillering.Detritivore 0.386 0.275 0.010 0.024 0.144 0.337 0.597 0.883
p.MO3_2018.Tillering.Rice_herb   0.297 0.290 0.001 0.003 0.033 0.200 0.515 0.857
p.MO3_2018.Tillering.Tour_herb   0.317 0.366 0.000 0.000 0.006 0.078 0.697 0.949
p.MO3_2018.Flowering.Detritivore 0.224 0.195 0.007 0.013 0.064 0.172 0.335 0.612
p.MO3_2018.Flowering.Rice_herb   0.451 0.325 0.003 0.007 0.114 0.461 0.754 0.940
p.MO3_2018.Flowering.Tour_herb   0.324 0.362 0.000 0.001 0.010 0.100 0.706 0.944
p.MO3_2019.Tillering.Detritivore 0.390 0.239 0.009 0.025 0.192 0.388 0.575 0.796
p.MO3_2019.Tillering.Rice_herb   0.304 0.266 0.001 0.003 0.041 0.264 0.506 0.788
p.MO3_2019.Tillering.Tour_herb   0.306 0.352 0.000 0.000 0.007 0.081 0.638 0.947
p.MO3_2019.Flowering.Detritivore 0.205 0.144 0.009 0.017 0.089 0.185 0.292 0.474
p.MO3_2019.Flowering.Rice_herb   0.477 0.314 0.003 0.008 0.143 0.557 0.748 0.908
p.MO3_2019.Flowering.Tour_herb   0.318 0.349 0.000 0.001 0.011 0.106 0.669 0.937
p.MO3_2019.Ripening.Detritivore  0.088 0.078 0.002 0.004 0.028 0.068 0.129 0.245
p.MO3_2019.Ripening.Rice_herb    0.546 0.395 0.001 0.003 0.073 0.765 0.899 0.973
p.MO3_2019.Ripening.Tour_herb    0.366 0.419 0.000 0.000 0.004 0.046 0.857 0.978
p.OC_2017.Flowering.Detritivore  0.252 0.200 0.008 0.014 0.083 0.211 0.379 0.642
p.OC_2017.Flowering.Rice_herb    0.439 0.312 0.004 0.008 0.122 0.457 0.712 0.923
p.OC_2017.Flowering.Tour_herb    0.309 0.353 0.000 0.001 0.009 0.072 0.658 0.931
p.OC_2017.Ripening.Detritivore   0.131 0.140 0.002 0.003 0.022 0.077 0.204 0.420
p.OC_2017.Ripening.Rice_herb     0.515 0.382 0.001 0.003 0.071 0.644 0.881 0.979
p.OC_2017.Ripening.Tour_herb     0.354 0.416 0.000 0.000 0.004 0.035 0.843 0.981
p.OO_2017.Ripening.Detritivore   0.138 0.155 0.001 0.003 0.020 0.076 0.209 0.469
p.OO_2017.Ripening.Rice_herb     0.505 0.386 0.001 0.003 0.056 0.616 0.882 0.984
p.OO_2017.Ripening.Tour_herb     0.357 0.420 0.000 0.000 0.004 0.035 0.856 0.984
p.SC1_2018.Tillering.Detritivore 0.475 0.236 0.019 0.046 0.306 0.495 0.651 0.847
p.SC1_2018.Tillering.Rice_herb   0.279 0.237 0.001 0.004 0.059 0.243 0.446 0.727
p.SC1_2018.Tillering.Tour_herb   0.246 0.302 0.000 0.000 0.006 0.061 0.454 0.881
p.SC1_2018.Flowering.Detritivore 0.269 0.163 0.016 0.031 0.142 0.254 0.378 0.562
p.SC1_2018.Flowering.Rice_herb   0.470 0.285 0.004 0.013 0.206 0.519 0.704 0.887
p.SC1_2018.Flowering.Tour_herb   0.261 0.300 0.000 0.001 0.010 0.086 0.509 0.852
p.SC1_2018.Ripening.Detritivore  0.128 0.107 0.004 0.007 0.044 0.100 0.185 0.337
p.SC1_2018.Ripening.Rice_herb    0.550 0.364 0.002 0.005 0.123 0.713 0.876 0.964
p.SC1_2018.Ripening.Tour_herb    0.322 0.381 0.000 0.000 0.004 0.043 0.732 0.956
p.SC1_2019.Flowering.Detritivore 0.131 0.139 0.006 0.010 0.037 0.088 0.176 0.407
p.SC1_2019.Flowering.Rice_herb   0.542 0.373 0.002 0.006 0.102 0.692 0.887 0.969
p.SC1_2019.Flowering.Tour_herb   0.327 0.385 0.000 0.000 0.006 0.053 0.760 0.961
p.SO1_2018.Tillering.Detritivore 0.343 0.349 0.006 0.011 0.051 0.143 0.732 0.932
p.SO1_2018.Tillering.Rice_herb   0.330 0.372 0.001 0.002 0.021 0.122 0.786 0.957
p.SO1_2018.Tillering.Tour_herb   0.327 0.412 0.000 0.000 0.004 0.032 0.858 0.976
p.SO1_2018.Ripening.Detritivore  0.123 0.178 0.001 0.001 0.007 0.025 0.203 0.506
