
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
p.LO2_2018.Ripening.Tour_herb    0.016 0.034 0.000 0.000 0.001 0.004 0.015  0.071
p.LO3_2018.Tillering.Detritivore 0.069 0.101 0.000 0.001 0.005 0.023 0.095  0.279
p.LO3_2018.Tillering.Predator    0.533 0.247 0.012 0.039 0.388 0.563 0.714  0.900
p.LO3_2018.Tillering.Rice_herb   0.340 0.256 0.008 0.015 0.127 0.306 0.486  0.882
p.LO3_2018.Tillering.Tour_herb   0.058 0.094 0.000 0.000 0.004 0.018 0.070  0.260
p.LO3_2018.Ripening.Detritivore  0.012 0.022 0.000 0.000 0.001 0.004 0.012  0.051
p.LO3_2018.Ripening.Predator     0.800 0.300 0.004 0.013 0.809 0.933 0.976  0.995
p.LO3_2018.Ripening.Rice_herb    0.177 0.296 0.001 0.001 0.011 0.044 0.156  0.968
p.LO3_2018.Ripening.Tour_herb    0.011 0.023 0.000 0.000 0.001 0.003 0.010  0.045
p.LO3_2019.Tillering.Detritivore 0.089 0.166 0.000 0.000 0.004 0.017 0.074  0.512
p.LO3_2019.Tillering.Predator    0.224 0.164 0.007 0.014 0.092 0.194 0.328  0.535
p.LO3_2019.Tillering.Rice_herb   0.591 0.303 0.008 0.020 0.391 0.665 0.843  0.962
p.LO3_2019.Tillering.Tour_herb   0.096 0.186 0.000 0.000 0.003 0.016 0.075  0.588
p.LO3_2019.Ripening.Detritivore  0.023 0.051 0.000 0.000 0.002 0.006 0.020  0.115
p.LO3_2019.Ripening.Predator     0.610 0.312 0.002 0.005 0.407 0.683 0.884  0.977
p.LO3_2019.Ripening.Rice_herb    0.341 0.322 0.002 0.004 0.050 0.248 0.541  0.986
p.LO3_2019.Ripening.Tour_herb    0.026 0.065 0.000 0.000 0.001 0.005 0.020  0.131
p.MC_2017.Tillering.Detritivore  0.065 0.105 0.000 0.000 0.005 0.023 0.079  0.271
p.MC_2017.Tillering.Predator     0.600 0.274 0.016 0.049 0.417 0.660 0.828  0.943
p.MC_2017.Tillering.Rice_herb    0.275 0.254 0.006 0.012 0.073 0.195 0.394  0.842
p.MC_2017.Tillering.Tour_herb    0.060 0.103 0.000 0.000 0.004 0.018 0.069  0.272
p.MC1_2018.Tillering.Detritivore 0.074 0.115 0.000 0.001 0.005 0.024 0.094  0.316
p.MC1_2018.Tillering.Predator    0.521 0.259 0.010 0.032 0.345 0.556 0.716  0.912
p.MC1_2018.Tillering.Rice_herb   0.336 0.263 0.007 0.017 0.119 0.279 0.484  0.896
p.MC1_2018.Tillering.Tour_herb   0.069 0.113 0.000 0.000 0.005 0.021 0.080  0.310
p.MC2_2018.Ripening.Detritivore  0.016 0.036 0.000 0.000 0.001 0.004 0.014  0.079
p.MC2_2018.Ripening.Predator     0.771 0.294 0.006 0.020 0.698 0.904 0.975  0.995
p.MC2_2018.Ripening.Rice_herb    0.193 0.285 0.001 0.001 0.011 0.055 0.238  0.941
p.MC2_2018.Ripening.Tour_herb    0.019 0.045 0.000 0.000 0.001 0.004 0.015  0.094
p.MC2_2019.Flowering.Detritivore 0.028 0.047 0.000 0.001 0.003 0.011 0.031  0.119
p.MC2_2019.Flowering.Predator    0.663 0.310 0.014 0.032 0.451 0.783 0.926  0.981
p.MC2_2019.Flowering.Rice_herb   0.275 0.302 0.003 0.005 0.035 0.128 0.448  0.927
p.MC2_2019.Flowering.Tour_herb   0.034 0.068 0.000 0.000 0.003 0.011 0.033  0.142
p.MC3_2019.Flowering.Detritivore 0.027 0.044 0.000 0.001 0.004 0.010 0.032  0.115
p.MC3_2019.Flowering.Predator    0.744 0.260 0.030 0.076 0.666 0.839 0.929  0.981
p.MC3_2019.Flowering.Rice_herb   0.191 0.245 0.003 0.007 0.031 0.089 0.232  0.827
p.MC3_2019.Flowering.Tour_herb   0.038 0.064 0.000 0.000 0.003 0.013 0.043  0.157
p.MC3_2019.Ripening.Detritivore  0.010 0.022 0.000 0.000 0.001 0.003 0.009  0.040
p.MC3_2019.Ripening.Predator     0.815 0.293 0.005 0.016 0.837 0.942 0.981  0.996
p.MC3_2019.Ripening.Rice_herb    0.162 0.289 0.001 0.001 0.008 0.034 0.124  0.962
p.MC3_2019.Ripening.Tour_herb    0.012 0.029 0.000 0.000 0.001 0.003 0.011  0.055
p.MO_2017.Tillering.Detritivore  0.062 0.097 0.000 0.001 0.005 0.022 0.076  0.260
p.MO_2017.Tillering.Predator     0.657 0.237 0.037 0.134 0.540 0.712 0.836  0.947
p.MO_2017.Tillering.Rice_herb    0.227 0.209 0.006 0.012 0.072 0.169 0.320  0.675
p.MO_2017.Tillering.Tour_herb    0.053 0.084 0.000 0.000 0.004 0.020 0.067  0.221
p.MO_2017.Flowering.Detritivore  0.032 0.053 0.000 0.001 0.003 0.013 0.037  0.132
p.MO_2017.Flowering.Predator     0.809 0.219 0.082 0.220 0.774 0.886 0.945  0.983
p.MO_2017.Flowering.Rice_herb    0.132 0.188 0.003 0.005 0.024 0.061 0.145  0.612
p.MO_2017.Flowering.Tour_herb    0.028 0.044 0.000 0.000 0.003 0.012 0.033  0.109
p.MO_2017.Ripening.Detritivore   0.011 0.023 0.000 0.000 0.001 0.003 0.011  0.047
p.MO_2017.Ripening.Predator      0.851 0.272 0.019 0.050 0.896 0.961 0.985  0.996
p.MO_2017.Ripening.Rice_herb     0.129 0.260 0.000 0.001 0.006 0.021 0.076  0.883
p.MO_2017.Ripening.Tour_herb     0.009 0.023 0.000 0.000 0.001 0.003 0.009  0.039
p.MO1_2018.Ripening.Detritivore  0.013 0.029 0.000 0.000 0.001 0.004 0.012  0.057
p.MO1_2018.Ripening.Predator     0.804 0.292 0.004 0.019 0.802 0.933 0.978  0.996
p.MO1_2018.Ripening.Rice_herb    0.168 0.284 0.000 0.001 0.010 0.040 0.145  0.956
p.MO1_2018.Ripening.Tour_herb    0.015 0.037 0.000 0.000 0.001 0.003 0.012  0.067
p.MO1_2019.Ripening.Detritivore  0.018 0.046 0.000 0.000 0.001 0.004 0.014  0.079
p.MO1_2019.Ripening.Predator     0.783 0.300 0.005 0.018 0.739 0.923 0.976  0.995
p.MO1_2019.Ripening.Rice_herb    0.182 0.291 0.000 0.001 0.010 0.043 0.185  0.955
p.MO1_2019.Ripening.Tour_herb    0.017 0.040 0.000 0.000 0.001 0.004 0.014  0.073
p.MO2_2018.Tillering.Detritivore 0.064 0.108 0.000 0.000 0.004 0.021 0.071  0.290
p.MO2_2018.Tillering.Predator    0.569 0.281 0.011 0.038 0.350 0.618 0.811  0.943
p.MO2_2018.Tillering.Rice_herb   0.296 0.267 0.006 0.012 0.077 0.208 0.461  0.865
p.MO2_2018.Tillering.Tour_herb   0.071 0.118 0.000 0.000 0.004 0.020 0.082  0.343
p.MO2_2018.Flowering.Detritivore 0.035 0.062 0.000 0.000 0.003 0.012 0.036  0.158
p.MO2_2018.Flowering.Predator    0.739 0.267 0.030 0.080 0.645 0.839 0.932  0.981
p.MO2_2018.Flowering.Rice_herb   0.188 0.244 0.003 0.006 0.029 0.083 0.226  0.802
p.MO2_2018.Flowering.Tour_herb   0.038 0.067 0.000 0.000 0.003 0.013 0.041  0.159
p.MO2_2019.Tillering.Detritivore 0.050 0.107 0.000 0.000 0.005 0.017 0.049  0.187
