
#################################################################
# Summary Statistics
#################################################################

DIC = 5560.759

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LO1_2018.Ripening.Rice_herb    0.846 0.130 0.495 0.583 0.801 0.882 0.936 0.976
p.LO1_2018.Ripening.Tour_herb    0.078 0.100 0.003 0.005 0.019 0.045 0.093 0.289
p.LO1_2019.Tillering.Detritivore 0.302 0.172 0.051 0.070 0.170 0.277 0.408 0.630
p.LO1_2019.Tillering.Predator    0.312 0.182 0.028 0.044 0.164 0.302 0.444 0.626
p.LO1_2019.Tillering.Rice_herb   0.310 0.190 0.030 0.042 0.139 0.302 0.454 0.638
p.LO1_2019.Tillering.Tour_herb   0.076 0.086 0.003 0.005 0.019 0.046 0.098 0.260
p.LO1_2019.Flowering.Detritivore 0.025 0.033 0.001 0.002 0.006 0.013 0.029 0.084
p.LO1_2019.Flowering.Predator    0.121 0.133 0.004 0.006 0.025 0.070 0.173 0.410
p.LO1_2019.Flowering.Rice_herb   0.798 0.160 0.394 0.466 0.712 0.848 0.922 0.969
p.LO1_2019.Flowering.Tour_herb   0.056 0.066 0.003 0.004 0.014 0.032 0.072 0.184
p.LO1_2019.Ripening.Detritivore  0.008 0.014 0.000 0.000 0.001 0.003 0.008 0.030
p.LO1_2019.Ripening.Predator     0.048 0.071 0.001 0.001 0.006 0.020 0.058 0.204
p.LO1_2019.Ripening.Rice_herb    0.917 0.086 0.675 0.735 0.890 0.949 0.977 0.992
p.LO1_2019.Ripening.Tour_herb    0.027 0.035 0.001 0.002 0.006 0.015 0.034 0.095
p.LO2_2018.Tillering.Detritivore 0.580 0.145 0.312 0.348 0.479 0.572 0.686 0.827
p.LO2_2018.Tillering.Predator    0.191 0.132 0.017 0.026 0.084 0.165 0.276 0.449
p.LO2_2018.Tillering.Rice_herb   0.168 0.122 0.023 0.031 0.073 0.136 0.234 0.412
p.LO2_2018.Tillering.Tour_herb   0.060 0.067 0.003 0.004 0.016 0.037 0.077 0.197
p.LO2_2018.Flowering.Detritivore 0.069 0.059 0.009 0.011 0.028 0.052 0.094 0.184
p.LO2_2018.Flowering.Predator    0.114 0.119 0.004 0.007 0.027 0.071 0.160 0.365
p.LO2_2018.Flowering.Rice_herb   0.744 0.161 0.372 0.429 0.642 0.778 0.872 0.949
p.LO2_2018.Flowering.Tour_herb   0.073 0.080 0.004 0.006 0.022 0.047 0.096 0.234
p.LO2_2018.Ripening.Detritivore  0.020 0.025 0.001 0.001 0.005 0.011 0.026 0.068
p.LO2_2018.Ripening.Predator     0.044 0.059 0.001 0.001 0.007 0.020 0.056 0.173
p.LO2_2018.Ripening.Rice_herb    0.897 0.088 0.666 0.714 0.860 0.923 0.961 0.988
p.LO2_2018.Ripening.Tour_herb    0.038 0.050 0.002 0.003 0.010 0.023 0.047 0.131
p.LO2_2019.Tillering.Detritivore 0.574 0.124 0.362 0.391 0.481 0.563 0.658 0.795
p.LO2_2019.Tillering.Predator    0.233 0.136 0.024 0.037 0.119 0.223 0.333 0.470
p.LO2_2019.Tillering.Rice_herb   0.140 0.087 0.021 0.031 0.073 0.122 0.192 0.308
p.LO2_2019.Tillering.Tour_herb   0.053 0.052 0.003 0.004 0.015 0.036 0.074 0.159
p.LO2_2019.Flowering.Detritivore 0.070 0.054 0.012 0.015 0.033 0.055 0.091 0.174
p.LO2_2019.Flowering.Predator    0.139 0.126 0.007 0.011 0.044 0.101 0.198 0.384
p.LO2_2019.Flowering.Rice_herb   0.719 0.159 0.347 0.428 0.620 0.745 0.842 0.925
p.LO2_2019.Flowering.Tour_herb   0.073 0.078 0.004 0.007 0.023 0.047 0.093 0.224
p.LO3_2018.Tillering.Detritivore 0.647 0.158 0.334 0.387 0.535 0.650 0.767 0.898
p.LO3_2018.Tillering.Predator    0.107 0.084 0.010 0.015 0.044 0.083 0.149 0.277
p.LO3_2018.Tillering.Rice_herb   0.208 0.150 0.018 0.025 0.081 0.178 0.310 0.484
p.LO3_2018.Tillering.Tour_herb   0.037 0.048 0.002 0.003 0.011 0.023 0.046 0.116
p.LO3_2018.Ripening.Detritivore  0.023 0.032 0.001 0.001 0.004 0.011 0.028 0.087
p.LO3_2018.Ripening.Predator     0.023 0.036 0.000 0.001 0.003 0.009 0.026 0.096
p.LO3_2018.Ripening.Rice_herb    0.930 0.070 0.735 0.783 0.906 0.955 0.978 0.992
p.LO3_2018.Ripening.Tour_herb    0.024 0.034 0.001 0.001 0.005 0.012 0.028 0.084
p.LO3_2019.Tillering.Detritivore 0.759 0.135 0.495 0.567 0.697 0.777 0.849 0.921
p.LO3_2019.Tillering.Predator    0.066 0.051 0.007 0.010 0.028 0.051 0.089 0.170
p.LO3_2019.Tillering.Rice_herb   0.150 0.128 0.022 0.029 0.071 0.120 0.192 0.335
p.LO3_2019.Tillering.Tour_herb   0.025 0.025 0.001 0.002 0.008 0.017 0.032 0.075
p.LO3_2019.Ripening.Detritivore  0.027 0.026 0.001 0.002 0.009 0.019 0.037 0.079
p.LO3_2019.Ripening.Predator     0.015 0.019 0.000 0.001 0.003 0.008 0.018 0.052
p.LO3_2019.Ripening.Rice_herb    0.939 0.050 0.830 0.852 0.919 0.950 0.971 0.989
p.LO3_2019.Ripening.Tour_herb    0.019 0.029 0.001 0.002 0.006 0.012 0.023 0.060
p.MC_2017.Tillering.Detritivore  0.335 0.154 0.106 0.132 0.222 0.309 0.420 0.632
p.MC_2017.Tillering.Predator     0.531 0.194 0.088 0.152 0.411 0.562 0.676 0.806
p.MC_2017.Tillering.Rice_herb    0.066 0.061 0.010 0.013 0.028 0.049 0.080 0.193
p.MC_2017.Tillering.Tour_herb    0.067 0.075 0.002 0.004 0.016 0.040 0.093 0.222
p.MC_2017.Flowering.Detritivore  0.054 0.045 0.007 0.010 0.024 0.041 0.069 0.141
p.MC_2017.Flowering.Predator     0.394 0.206 0.025 0.052 0.236 0.400 0.553 0.725
p.MC_2017.Flowering.Rice_herb    0.445 0.176 0.141 0.179 0.316 0.426 0.560 0.771
p.MC_2017.Flowering.Tour_herb    0.107 0.099 0.006 0.010 0.035 0.077 0.151 0.306
p.MC_2017.Ripening.Detritivore   0.023 0.030 0.001 0.001 0.005 0.012 0.028 0.082
p.MC_2017.Ripening.Predator      0.202 0.144 0.004 0.009 0.075 0.187 0.301 0.456
p.MC_2017.Ripening.Rice_herb     0.703 0.145 0.418 0.465 0.602 0.703 0.814 0.940
p.MC_2017.Ripening.Tour_herb     0.072 0.071 0.004 0.006 0.022 0.049 0.099 0.215
p.MC1_2018.Tillering.Detritivore 0.617 0.249 0.080 0.120 0.455 0.676 0.815 0.921
p.MC1_2018.Tillering.Predator    0.109 0.089 0.010 0.014 0.042 0.082 0.154 0.288
p.MC1_2018.Tillering.Rice_herb   0.225 0.246 0.007 0.010 0.034 0.107 0.375 0.752
p.MC1_2018.Tillering.Tour_herb   0.049 0.082 0.002 0.003 0.011 0.025 0.055 0.152
p.MC1_2018.Flowering.Detritivore 0.120 0.133 0.002 0.003 0.019 0.072 0.177 0.400
p.MC1_2018.Flowering.Predator    0.091 0.124 0.002 0.003 0.013 0.041 0.117 0.353
p.MC1_2018.Flowering.Rice_herb   0.710 0.244 0.185 0.246 0.526 0.771 0.930 0.982
p.MC1_2018.Flowering.Tour_herb   0.079 0.106 0.002 0.003 0.013 0.037 0.100 0.307
p.MC1_2018.Ripening.Detritivore  0.043 0.068 0.000 0.000 0.003 0.016 0.053 0.174
p.MC1_2018.Ripening.Predator     0.043 0.079 0.000 0.001 0.003 0.012 0.047 0.195
p.MC1_2018.Ripening.Rice_herb    0.866 0.151 0.464 0.533 0.807 0.925 0.979 0.995
p.MC1_2018.Ripening.Tour_herb    0.048 0.074 0.001 0.001 0.006 0.018 0.055 0.195
p.MC1_2019.Tillering.Detritivore 0.359 0.190 0.072 0.095 0.215 0.333 0.476 0.723
p.MC1_2019.Tillering.Predator    0.329 0.208 0.027 0.038 0.150 0.304 0.487 0.696
p.MC1_2019.Tillering.Rice_herb   0.232 0.177 0.020 0.028 0.085 0.187 0.348 0.575
p.MC1_2019.Tillering.Tour_herb   0.079 0.095 0.002 0.004 0.019 0.046 0.099 0.278
p.MC1_2019.Flowering.Detritivore 0.036 0.045 0.002 0.003 0.010 0.021 0.044 0.117
p.MC1_2019.Flowering.Predator    0.159 0.159 0.004 0.007 0.034 0.100 0.243 0.485
p.MC1_2019.Flowering.Rice_herb   0.730 0.188 0.313 0.376 0.605 0.766 0.889 0.962
p.MC1_2019.Flowering.Tour_herb   0.076 0.090 0.003 0.005 0.019 0.045 0.096 0.258
p.MC1_2019.Ripening.Detritivore  0.012 0.024 0.000 0.000 0.002 0.005 0.013 0.049
p.MC1_2019.Ripening.Predator     0.069 0.096 0.001 0.001 0.008 0.029 0.090 0.284
p.MC1_2019.Ripening.Rice_herb    0.878 0.123 0.533 0.615 0.831 0.922 0.966 0.990
p.MC1_2019.Ripening.Tour_herb    0.041 0.060 0.001 0.002 0.008 0.020 0.048 0.153
p.MC2_2018.Tillering.Detritivore 0.480 0.231 0.077 0.116 0.295 0.474 0.662 0.856
p.MC2_2018.Tillering.Predator    0.215 0.168 0.015 0.023 0.079 0.172 0.315 0.547
p.MC2_2018.Tillering.Rice_herb   0.221 0.186 0.017 0.024 0.073 0.162 0.322 0.605
p.MC2_2018.Tillering.Tour_herb   0.083 0.107 0.003 0.004 0.018 0.043 0.103 0.295
p.MC2_2018.Ripening.Detritivore  0.019 0.037 0.000 0.000 0.002 0.007 0.021 0.079
p.MC2_2018.Ripening.Predator     0.041 0.058 0.001 0.001 0.006 0.018 0.051 0.167
p.MC2_2018.Ripening.Rice_herb    0.891 0.108 0.597 0.670 0.848 0.926 0.968 0.990
p.MC2_2018.Ripening.Tour_herb    0.048 0.070 0.001 0.002 0.008 0.022 0.059 0.185
p.MC2_2019.Tillering.Detritivore 0.523 0.144 0.246 0.285 0.425 0.524 0.623 0.763
