
#################################################################
# Summary Statistics
#################################################################

DIC = 4922.612

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO1_2018.Tillering.Detritivore 0.884 0.177 0.216 0.411 0.899 0.943 0.965 0.984
p.MO1_2018.Tillering.Predator    0.023 0.046 0.000 0.000 0.003 0.009 0.025 0.093
p.MO1_2018.Tillering.Rice_herb   0.034 0.087 0.002 0.003 0.008 0.013 0.023 0.119
p.MO1_2018.Tillering.Tour_herb   0.058 0.108 0.003 0.004 0.013 0.026 0.052 0.228
p.MO1_2018.Flowering.Detritivore 0.526 0.190 0.011 0.024 0.460 0.558 0.648 0.769
p.MO1_2018.Flowering.Predator    0.038 0.047 0.001 0.001 0.007 0.020 0.048 0.134
p.MO1_2018.Flowering.Rice_herb   0.282 0.167 0.072 0.091 0.179 0.248 0.338 0.623
p.MO1_2018.Flowering.Tour_herb   0.155 0.126 0.019 0.029 0.077 0.127 0.193 0.357
p.MO1_2019.Tillering.Detritivore 0.586 0.151 0.292 0.338 0.481 0.586 0.695 0.834
p.MO1_2019.Tillering.Predator    0.068 0.084 0.000 0.001 0.009 0.034 0.096 0.256
p.MO1_2019.Tillering.Rice_herb   0.241 0.110 0.066 0.081 0.158 0.230 0.310 0.445
p.MO1_2019.Tillering.Tour_herb   0.105 0.075 0.011 0.016 0.047 0.089 0.146 0.247
p.MO1_2019.Flowering.Detritivore 0.079 0.058 0.013 0.017 0.037 0.064 0.105 0.197
p.MO1_2019.Flowering.Predator    0.037 0.055 0.000 0.001 0.005 0.016 0.045 0.151
p.MO1_2019.Flowering.Rice_herb   0.791 0.097 0.571 0.616 0.735 0.803 0.863 0.924
p.MO1_2019.Flowering.Tour_herb   0.092 0.059 0.013 0.019 0.049 0.080 0.125 0.206
p.MO1_2019.Ripening.Detritivore  0.063 0.061 0.003 0.005 0.018 0.042 0.086 0.185
p.MO1_2019.Ripening.Predator     0.022 0.037 0.000 0.000 0.002 0.007 0.024 0.096
p.MO1_2019.Ripening.Rice_herb    0.871 0.078 0.683 0.721 0.826 0.888 0.932 0.967
p.MO1_2019.Ripening.Tour_herb    0.044 0.032 0.006 0.008 0.021 0.037 0.060 0.106
p.MO2_2018.Tillering.Detritivore 0.286 0.215 0.040 0.053 0.140 0.235 0.354 0.891
p.MO2_2018.Tillering.Predator    0.036 0.043 0.000 0.001 0.007 0.021 0.050 0.120
p.MO2_2018.Tillering.Rice_herb   0.091 0.071 0.009 0.014 0.040 0.074 0.122 0.227
p.MO2_2018.Tillering.Tour_herb   0.587 0.202 0.017 0.045 0.508 0.618 0.718 0.849
p.MO2_2018.Flowering.Detritivore 0.062 0.116 0.003 0.004 0.013 0.026 0.052 0.338
p.MO2_2018.Flowering.Predator    0.023 0.035 0.000 0.001 0.004 0.011 0.027 0.085
p.MO2_2018.Flowering.Rice_herb   0.331 0.173 0.054 0.080 0.198 0.313 0.445 0.650
p.MO2_2018.Flowering.Tour_herb   0.584 0.204 0.106 0.188 0.459 0.607 0.737 0.878
p.MO2_2019.Tillering.Detritivore 0.817 0.070 0.666 0.688 0.770 0.824 0.870 0.919
p.MO2_2019.Tillering.Predator    0.024 0.029 0.000 0.001 0.005 0.014 0.032 0.084
p.MO2_2019.Tillering.Rice_herb   0.123 0.053 0.042 0.050 0.084 0.115 0.156 0.220
p.MO2_2019.Tillering.Tour_herb   0.036 0.028 0.004 0.006 0.015 0.029 0.049 0.090
p.MO2_2019.Flowering.Detritivore 0.177 0.078 0.055 0.067 0.119 0.167 0.225 0.320
p.MO2_2019.Flowering.Predator    0.022 0.029 0.001 0.001 0.004 0.011 0.028 0.082
p.MO2_2019.Flowering.Rice_herb   0.743 0.089 0.549 0.586 0.686 0.749 0.808 0.876
p.MO2_2019.Flowering.Tour_herb   0.058 0.042 0.008 0.011 0.029 0.048 0.077 0.138
p.MO3_2018.Tillering.Detritivore 0.540 0.187 0.172 0.239 0.409 0.534 0.672 0.859
p.MO3_2018.Tillering.Predator    0.059 0.074 0.000 0.001 0.009 0.030 0.081 0.215
p.MO3_2018.Tillering.Rice_herb   0.135 0.099 0.014 0.021 0.059 0.112 0.190 0.324
p.MO3_2018.Tillering.Tour_herb   0.265 0.154 0.023 0.040 0.149 0.257 0.361 0.541
p.MO3_2019.Tillering.Detritivore 0.486 0.161 0.072 0.150 0.402 0.510 0.601 0.707
